iter	Passed	Remaining
0	136	136553
1	137	68494
2	138	45891
3	138	34575
4	140	27934
5	143	23762
6	146	20777
7	149	18503
8	151	16691
9	153	15190
10	154	13867
11	155	12823
12	157	11921
13	158	11136
14	159	10451
15	159	9837
16	160	9297
17	161	8806
18	162	8369
19	162	7986
20	163	7636
21	164	7320
22	165	7034
23	166	6770
24	167	6522
25	167	6291
26	168	6083
27	169	5894
28	171	5728
29	172	5572
30	173	5417
31	174	5267
32	174	5120
33	175	4980
34	175	4849
35	176	4723
36	176	4605
37	177	4494
38	178	4389
39	178	4289
40	179	4194
41	179	4101
42	180	4014
43	180	3931
44	181	3850
45	181	3774
46	182	3700
47	183	3633
48	183	3570
49	184	3510
50	185	3453
51	186	3395
52	186	3339
53	187	3285
54	188	3234
55	188	3183
56	189	3133
57	190	3086
58	190	3041
59	191	2997
60	191	2954
61	192	2912
62	193	2872
63	193	2837
64	194	2799
65	195	2762
66	195	2725
67	196	2691
68	197	2658
69	197	2629
70	198	2603
71	199	2577
72	200	2548
73	201	2521
74	202	2492
75	202	2464
76	203	2436
77	203	2409
78	204	2383
79	205	2357
80	205	2332
81	206	2307
82	206	2281
83	207	2257
84	207	2235
85	208	2214
86	208	2193
87	209	2173
88	210	2153
89	211	2134
90	212	2119
91	213	2111
92	214	2093
93	215	2076
94	216	2061
95	217	2049
96	218	2031
97	218	2014
98	219	1996
99	219	1979
100	220	1962
101	221	1946
102	221	1930
103	222	1914
104	222	1898
105	223	1883
106	223	1868
107	224	1853
108	225	1839
109	225	1825
110	226	1811
111	227	1803
112	228	1794
113	229	1784
114	230	1772
115	231	1760
116	231	1748
117	232	1736
118	233	1725
119	233	1713
120	234	1702
121	234	1690
122	235	1679
123	236	1668
124	236	1657
125	237	1647
126	238	1636
127	238	1626
128	239	1615
129	240	1606
130	240	1597
131	241	1587
132	242	1579
133	243	1572
134	244	1565
135	245	1557
136	245	1548
137	247	1544
138	248	1536
139	248	1527
140	249	1519
141	250	1510
142	250	1502
143	251	1494
144	252	1485
145	252	1477
146	253	1469
147	253	1462
148	254	1455
149	255	1448
150	256	1442
151	257	1437
152	258	1432
153	259	1427
154	260	1420
155	261	1415
156	262	1408
157	263	1402
158	263	1395
159	264	1388
160	264	1380
161	265	1374
162	266	1368
163	267	1361
164	267	1355
165	268	1348
166	269	1342
167	269	1336
168	270	1330
169	271	1324
170	272	1320
171	273	1316
172	274	1310
173	274	1305
174	275	1299
175	276	1295
176	277	1289
177	278	1284
178	278	1278
179	279	1273
180	280	1268
181	281	1263
182	281	1258
183	282	1253
184	283	1248
185	284	1243
186	284	1238
187	285	1233
188	286	1229
189	287	1226
190	288	1221
191	289	1217
192	291	1217
193	292	1213
194	292	1208
195	293	1204
196	294	1200
197	295	1195
198	295	1191
199	296	1186
200	297	1182
201	298	1177
202	298	1173
203	299	1168
204	300	1164
205	301	1161
206	302	1159
207	303	1156
208	304	1152
209	305	1149
210	306	1147
211	308	1147
212	309	1143
213	310	1142
214	311	1138
215	312	1134
216	313	1130
217	314	1126
218	314	1122
219	315	1119
220	316	1116
221	318	1114
222	319	1111
223	319	1108
224	320	1105
225	321	1101
226	322	1097
227	323	1094
228	323	1090
229	324	1087
230	325	1083
231	326	1080
232	327	1076
233	327	1073
234	328	1070
235	329	1067
236	330	1063
237	331	1061
238	332	1058
239	333	1055
240	334	1054
241	336	1052
242	337	1050
243	337	1046
244	338	1043
245	339	1040
246	340	1036
247	340	1033
248	341	1029
249	342	1026
250	342	1022
251	343	1019
252	344	1016
253	344	1013
254	345	1010
255	347	1008
256	348	1006
